Record_ID,Train_Number,Station_Code,Route_ID,Journey_Date,Train_Name,Train_Type,Train_Source,Train_Destination,Train_Total_Stops,Route_Name,Station_Name,Station_Order,Is_Junction,Is_Terminal,Is_Bottleneck_Station,Scheduled_Arrival,Actual_Arrival,Scheduled_Departure,Actual_Departure,Arrival_Delay_Min,Departure_Delay_Min,Station_Halt_Min,Cumulative_Delay_Min,Delay_Flag,Severe_Delay_Flag,Delay_Category,Hour_of_Day,Time_Period,Is_Night_Train,Is_Peak_Hour,Day_of_Week,Day_Number,Month,Month_Number,Year,Is_Weekend,Week_Number,Delay_Risk_Score,Risk_Category,Passenger_Reliability_Index,Journey_Predictability_Pct
1,12301,HWH,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,17:08,0,18,0,1,0,0,On Time/Early,16,Afternoon (11-16),0,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
2,12301,ASN,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,21:06,18:49,18:57,139,8,2,141,1,1,Severe (60+ min),18,Evening Peak (17-21),0,1,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
3,12301,DHN,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,20:00,20:00,20:18,5,18,5,8,0,0,Slight (1-10 min),20,Evening Peak (17-21),0,1,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
4,12301,PNME,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,20:35,20:32,20:33,5,1,2,9,0,0,Slight (1-10 min),20,Evening Peak (17-21),0,1,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
5,12301,GAYA,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,22:30,22:35,22:33,0,0,3,5,0,0,On Time/Early,22,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
6,12301,DDU,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,01:00,00:50,00:53,20,3,10,26,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
7,12301,PRYJ,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,01:21,00:45,00:41,38,0,2,45,1,1,Significant (31-60 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
8,12301,CNB,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:50,00:55,00:56,0,1,5,8,0,0,On Time/Early,0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
9,12301,NDLS,HWH_NDLS,2025-12-30,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:48,,,43,0,0,52,1,1,Significant (31-60 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
10,12301,HWH,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,17:44,0,54,0,10,0,0,On Time/Early,16,Afternoon (11-16),0,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
